7971 東証1部 東リ(株)（化学）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","253","253","246","248","55000","248"
"2015-01-06","247","247","242","242","70000","242"
"2015-01-07","240","250","240","245","55000","245"
"2015-01-08","248","248","245","247","50000","247"
"2015-01-09","246","248","245","246","57000","246"
"2015-01-13","246","246","243","244","49000","244"
"2015-01-14","244","244","242","243","32000","243"
"2015-01-15","243","244","240","244","85000","244"
"2015-01-16","241","242","238","241","57000","241"
"2015-01-19","241","242","240","240","25000","240"
"2015-01-20","240","248","240","244","49000","244"
"2015-01-21","245","250","242","242","63000","242"
"2015-01-22","243","244","242","244","35000","244"
"2015-01-23","244","247","244","245","50000","245"
"2015-01-26","247","247","243","247","55000","247"
"2015-01-27","247","248","247","248","24000","248"
"2015-01-28","248","250","247","249","51000","249"
"2015-01-29","248","251","247","247","51000","247"
"2015-01-30","248","248","246","246","27000","246"
"2015-02-02","246","250","245","248","22000","248"
"2015-02-03","248","249","243","244","46000","244"
"2015-02-04","247","248","244","248","34000","248"
"2015-02-05","250","250","248","249","23000","249"
"2015-02-06","249","255","249","253","110000","253"
"2015-02-09","254","255","247","249","116000","249"
"2015-02-10","249","250","248","249","38000","249"
"2015-02-12","253","253","250","251","65000","251"
"2015-02-13","252","253","251","252","51000","252"
"2015-02-16","254","255","253","255","62000","255"
"2015-02-17","254","255","253","255","34000","255"
"2015-02-18","254","255","254","255","68000","255"
"2015-02-19","257","258","255","258","79000","258"
"2015-02-20","258","259","256","258","110000","258"
"2015-02-23","260","262","259","259","71000","259"
"2015-02-24","259","262","259","260","74000","260"
"2015-02-25","259","268","259","265","188000","265"
"2015-02-26","265","268","263","265","98000","265"
"2015-02-27","265","266","263","263","64000","263"
"2015-03-02","265","265","262","265","59000","265"
"2015-03-03","266","266","260","261","66000","261"
"2015-03-04","262","262","256","260","97000","260"
"2015-03-05","260","260","256","259","48000","259"
"2015-03-06","260","262","259","260","53000","260"
"2015-03-09","260","260","258","259","40000","259"
"2015-03-10","260","264","260","261","65000","261"
"2015-03-11","261","266","261","264","101000","264"
"2015-03-12","267","269","265","267","100000","267"
"2015-03-13","270","275","267","271","206000","271"
"2015-03-16","273","274","270","273","77000","273"
"2015-03-17","273","276","273","275","121000","275"
"2015-03-18","275","278","272","274","137000","274"
"2015-03-19","273","276","273","273","66000","273"
"2015-03-20","275","278","271","276","94000","276"
"2015-03-23","276","280","274","280","55000","280"
"2015-03-24","281","282","277","281","75000","281"
"2015-03-25","281","283","280","282","65000","282"
"2015-03-26","282","283","276","280","88000","280"
"2015-03-27","274","278","268","269","94000","269"
"2015-03-30","269","273","252","272","92000","272"
"2015-03-31","277","283","271","276","110000","276"
"2015-04-01","276","280","268","274","57000","274"
