7971 東証1部 東リ(株)（化学）,,,,,
"2015-04-02","277","280","274","276","72000","276"
"2015-04-03","275","275","271","273","43000","273"
"2015-04-06","268","272","268","269","53000","269"
"2015-04-07","270","274","269","273","66000","273"
"2015-04-08","275","278","272","275","41000","275"
"2015-04-09","277","279","272","275","63000","275"
"2015-04-10","278","280","276","279","76000","279"
"2015-04-13","280","280","275","276","70000","276"
"2015-04-14","276","277","275","276","31000","276"
"2015-04-15","278","278","273","275","45000","275"
"2015-04-16","275","276","272","273","35000","273"
"2015-04-17","271","273","270","271","63000","271"
"2015-04-20","270","271","268","270","55000","270"
"2015-04-21","276","276","270","271","78000","271"
"2015-04-22","271","271","269","270","55000","270"
"2015-04-23","272","304","270","290","885000","290"
"2015-04-24","291","296","290","294","424000","294"
"2015-04-27","298","298","292","293","200000","293"
"2015-04-28","294","294","290","292","113000","292"
"2015-04-30","290","291","288","290","149000","290"
"2015-05-01","289","290","288","290","86000","290"
"2015-05-07","290","290","280","288","124000","288"
"2015-05-08","289","292","289","292","66000","292"
"2015-05-11","295","315","293","307","316000","307"
"2015-05-12","300","308","296","308","238000","308"
"2015-05-13","309","314","307","313","163000","313"
"2015-05-14","315","319","312","315","113000","315"
"2015-05-15","317","325","316","324","195000","324"
"2015-05-18","327","331","327","330","197000","330"
"2015-05-19","332","334","325","332","195000","332"
"2015-05-20","331","331","327","331","130000","331"
"2015-05-21","332","333","328","329","95000","329"
"2015-05-22","326","328","316","323","131000","323"
"2015-05-25","326","328","320","325","130000","325"
"2015-05-26","328","335","324","330","175000","330"
"2015-05-27","330","338","330","337","152000","337"
"2015-05-28","338","348","338","346","198000","346"
"2015-05-29","342","348","342","343","117000","343"
"2015-06-01","340","346","340","344","49000","344"
"2015-06-02","346","346","338","340","75000","340"
"2015-06-03","337","339","336","337","57000","337"
"2015-06-04","337","348","337","343","120000","343"
"2015-06-05","338","345","338","342","68000","342"
"2015-06-08","342","343","338","340","70000","340"
"2015-06-09","341","341","335","337","90000","337"
"2015-06-10","337","341","336","337","126000","337"
"2015-06-11","337","337","331","335","85000","335"
"2015-06-12","339","339","335","337","138000","337"
"2015-06-15","340","340","337","339","79000","339"
"2015-06-16","339","339","332","336","73000","336"
"2015-06-17","334","338","332","333","51000","333"
"2015-06-18","330","333","329","330","65000","330"
"2015-06-19","333","333","327","330","102000","330"
"2015-06-22","331","333","330","332","52000","332"
"2015-06-23","335","336","330","330","66000","330"
"2015-06-24","330","335","329","333","94000","333"
"2015-06-25","330","335","322","329","129000","329"
"2015-06-26","328","330","326","328","49000","328"
"2015-06-29","326","326","320","322","106000","322"
"2015-06-30","322","328","322","328","50000","328"
"2015-07-01","324","325","320","321","71000","321"
"2015-07-02","327","329","323","327","41000","327"
"2015-07-03","327","327","323","323","19000","323"
"2015-07-06","318","321","315","319","95000","319"
"2015-07-07","319","320","315","316","50000","316"
"2015-07-08","314","317","310","311","82000","311"
"2015-07-09","300","306","293","303","86000","303"
"2015-07-10","303","306","291","294","76000","294"
"2015-07-13","300","306","297","305","48000","305"
"2015-07-14","307","318","306","314","76000","314"
"2015-07-15","318","318","310","312","130000","312"
"2015-07-16","311","314","306","312","53000","312"
"2015-07-17","313","314","311","312","13000","312"
"2015-07-21","312","313","312","313","32000","313"
"2015-07-22","313","318","312","314","53000","314"
"2015-07-23","318","319","313","318","65000","318"
"2015-07-24","322","322","316","318","70000","318"
"2015-07-27","319","319","312","312","48000","312"
"2015-07-28","311","314","310","312","26000","312"
"2015-07-29","314","315","311","312","33000","312"
"2015-07-30","312","312","306","306","52000","306"
"2015-07-31","306","326","302","326","140000","326"
"2015-08-03","321","323","318","319","47000","319"
"2015-08-04","321","324","320","322","51000","322"
"2015-08-05","322","329","322","327","51000","327"
"2015-08-06","329","331","323","331","129000","331"
"2015-08-07","331","332","327","329","80000","329"
"2015-08-10","329","332","325","332","44000","332"
"2015-08-11","330","336","330","333","75000","333"
"2015-08-12","329","331","318","322","108000","322"
"2015-08-13","324","335","319","332","72000","332"
"2015-08-14","334","335","332","335","56000","335"
"2015-08-17","336","336","334","336","43000","336"
"2015-08-18","337","342","321","341","187000","341"
"2015-08-19","341","344","335","342","94000","342"
"2015-08-20","342","348","340","341","122000","341"
"2015-08-21","331","344","331","336","131000","336"
"2015-08-24","330","334","314","314","115000","314"
"2015-08-25","300","308","297","298","107000","298"
"2015-08-26","300","311","295","308","109000","308"
"2015-08-27","316","317","314","317","45000","317"
"2015-08-28","322","323","319","322","40000","322"
"2015-08-31","326","328","322","328","58000","328"
"2015-09-01","328","328","322","322","55000","322"
"2015-09-02","320","322","308","315","83000","315"
"2015-09-03","320","321","314","314","70000","314"
"2015-09-04","316","319","308","311","82000","311"
"2015-09-07","308","312","306","309","16000","309"
"2015-09-08","309","310","299","300","30000","300"
"2015-09-09","305","315","305","315","65000","315"
"2015-09-10","308","313","306","312","44000","312"
"2015-09-11","307","315","307","314","100000","314"
"2015-09-14","315","317","313","313","36000","313"
"2015-09-15","316","316","311","314","34000","314"
"2015-09-16","320","320","315","316","25000","316"
"2015-09-17","317","319","312","319","43000","319"
"2015-09-18","319","320","315","317","65000","317"
"2015-09-24","312","315","306","307","59000","307"
"2015-09-25","305","312","303","312","57000","312"
"2015-09-28","314","314","307","308","35000","308"
"2015-09-29","308","308","295","296","51000","296"
"2015-09-30","302","305","296","297","90000","297"
"2015-10-01","299","300","293","300","70000","300"
"2015-10-02","299","303","299","300","30000","300"
"2015-10-05","301","305","300","300","40000","300"
"2015-10-06","303","303","300","300","67000","300"
"2015-10-07","302","312","300","312","77000","312"
"2015-10-08","309","317","309","314","70000","314"
"2015-10-09","311","319","311","318","59000","318"
"2015-10-13","313","320","313","316","38000","316"
"2015-10-14","316","325","311","319","133000","319"
"2015-10-15","319","335","319","330","116000","330"
"2015-10-16","333","338","330","337","100000","337"
"2015-10-19","336","343","336","341","60000","341"
"2015-10-20","343","347","341","345","89000","345"
"2015-10-21","345","347","340","345","86000","345"
"2015-10-22","345","345","333","338","91000","338"
"2015-10-23","342","345","342","345","60000","345"
"2015-10-26","346","349","345","347","54000","347"
"2015-10-27","347","349","343","345","109000","345"
"2015-10-28","341","347","339","346","110000","346"
"2015-10-29","344","346","338","343","123000","343"
"2015-10-30","343","347","339","345","51000","345"
"2015-11-02","329","344","328","336","177000","336"
"2015-11-04","341","344","338","340","66000","340"
"2015-11-05","337","347","335","346","143000","346"
"2015-11-06","346","347","342","346","109000","346"
"2015-11-09","346","355","346","354","141000","354"
"2015-11-10","352","359","352","358","97000","358"
"2015-11-11","359","361","355","358","110000","358"
"2015-11-12","357","365","357","361","85000","361"
"2015-11-13","355","363","355","363","47000","363"
"2015-11-16","356","362","356","360","65000","360"
"2015-11-17","358","362","357","361","69000","361"
"2015-11-18","363","365","361","362","27000","362"
"2015-11-19","362","365","362","362","29000","362"
"2015-11-20","362","365","361","364","45000","364"
"2015-11-24","365","365","363","364","46000","364"
"2015-11-25","363","364","360","364","42000","364"
"2015-11-26","364","364","343","352","141000","352"
"2015-11-27","349","352","347","351","153000","351"
"2015-11-30","352","353","345","353","76000","353"
"2015-12-01","350","355","348","355","52000","355"
"2015-12-02","354","358","351","357","42000","357"
"2015-12-03","351","356","351","356","39000","356"
"2015-12-04","355","355","347","347","45000","347"
"2015-12-07","347","352","347","349","42000","349"
"2015-12-08","349","351","349","349","34000","349"
"2015-12-09","349","349","337","338","102000","338"
"2015-12-10","339","339","335","336","115000","336"
"2015-12-11","330","340","330","337","116000","337"
"2015-12-14","332","339","330","336","58000","336"
"2015-12-15","337","339","336","337","45000","337"
"2015-12-16","337","339","336","339","42000","339"
"2015-12-17","340","347","338","341","53000","341"
"2015-12-18","338","344","335","341","64000","341"
"2015-12-21","336","340","330","335","69000","335"
"2015-12-22","333","337","333","335","34000","335"
"2015-12-24","333","335","328","333","62000","333"
"2015-12-25","333","333","325","328","52000","328"
"2015-12-28","332","337","332","336","24000","336"
"2015-12-29","332","338","332","336","41000","336"
"2015-12-30","341","344","339","343","24000","343"
