8316 東証1部 (株)三井住友フィナンシャルグループ（銀行業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","4335","4349.5","4268","4309","6631100","4309"
"2015-01-06","4233","4245","4199","4208.5","7986500","4208.5"
"2015-01-07","4175","4181","4122","4138.5","8653300","4138.5"
"2015-01-08","4199.5","4200","4146.5","4159.5","6157500","4159.5"
"2015-01-09","4162","4167.5","4067.5","4094","11461900","4094"
"2015-01-13","4050","4057","3994","4051","10369800","4051"
"2015-01-14","4019.5","4046","3995","4007.5","7482300","4007.5"
"2015-01-15","4001.5","4033","3984","4022.5","7428800","4022.5"
"2015-01-16","3972","4036.5","3952","4036","7556600","4036"
"2015-01-19","4053.5","4063.5","3972.5","3994","5839200","3994"
"2015-01-20","4003.5","4094.5","3983.5","4090","6550900","4090"
"2015-01-21","4039","4058.5","4002","4035.5","5436100","4035.5"
"2015-01-22","4047.5","4070","4006","4048","5433500","4048"
"2015-01-23","4105","4112","4062.5","4085","6250300","4085"
"2015-01-26","4019.5","4051","4007","4049","5605300","4049"
"2015-01-27","4100","4177","4081","4170.5","8892300","4170.5"
"2015-01-28","4100","4116.5","4063.5","4081.5","11048600","4081.5"
"2015-01-29","4018","4019","3986","4002","12262200","4002"
"2015-01-30","4002.5","4018","3980","3990.5","9416700","3990.5"
"2015-02-02","3970","3972.5","3927","3947.5","8222700","3947.5"
"2015-02-03","3977.5","3988.5","3902","3912.5","9646800","3912.5"
"2015-02-04","3977","4076","3958","4018.5","12300400","4018.5"
"2015-02-05","4040","4117","3987.5","4044","11559700","4044"
"2015-02-06","4083","4138","4071","4129.5","10038600","4129.5"
"2015-02-09","4200","4219.5","4150","4177","7370100","4177"
"2015-02-10","4184","4185","4148","4179.5","5162300","4179.5"
"2015-02-12","4240","4259.5","4223.5","4242.5","10631800","4242.5"
"2015-02-13","4268","4305","4267","4293.5","9606300","4293.5"
"2015-02-16","4350","4464","4341.5","4440","16944600","4440"
"2015-02-17","4410","4500","4410","4431.5","10286900","4431.5"
"2015-02-18","4499.5","4572.5","4495","4566.5","13175700","4566.5"
"2015-02-19","4603","4700","4601.5","4687","15702500","4687"
"2015-02-20","4700","4709","4635","4672.5","9796900","4672.5"
"2015-02-23","4719","4735","4537","4602.5","13678400","4602.5"
"2015-02-24","4580.5","4648","4570.5","4611","7851400","4611"
"2015-02-25","4660","4700","4600","4615.5","8440800","4615.5"
"2015-02-26","4615","4707.5","4601","4702","8903400","4702"
"2015-02-27","4758","4788","4727.5","4759.5","14512200","4759.5"
"2015-03-02","4800","4822","4751","4758","8638400","4758"
"2015-03-03","4800","4800","4692","4737","9380700","4737"
"2015-03-04","4701.5","4720","4622","4660","9660500","4660"
"2015-03-05","4655.5","4699.5","4652","4699.5","6072100","4699.5"
"2015-03-06","4703.5","4814","4689","4813.5","12394500","4813.5"
"2015-03-09","4796.5","4805.5","4735","4775.5","6841900","4775.5"
"2015-03-10","4808","4810","4660","4699","8774300","4699"
"2015-03-11","4633.5","4703.5","4607","4682","7170600","4682"
"2015-03-12","4682.5","4776.5","4646","4747","8571700","4747"
"2015-03-13","4747.5","4832","4742.5","4780.5","15617700","4780.5"
"2015-03-16","4830","4915","4816","4858.5","9529100","4858.5"
"2015-03-17","4900","4904.5","4841","4851","5845300","4851"
"2015-03-18","4848","4905","4818.5","4886.5","7199300","4886.5"
"2015-03-19","4877","4882.5","4787","4828","8297800","4828"
"2015-03-20","4809.5","4869.5","4800","4869.5","6133800","4869.5"
"2015-03-23","4891.5","4894","4846.5","4870","5622400","4870"
"2015-03-24","4870.5","4884","4808.5","4830","5664100","4830"
"2015-03-25","4830","4846","4792","4838","6214200","4838"
