8316 東証1部 (株)三井住友フィナンシャルグループ（銀行業）,,,,,
"2015-03-26","4790","4795","4688","4726.5","11181400","4726.5"
"2015-03-27","4690.5","4784","4631","4655.5","9584300","4655.5"
"2015-03-30","4664","4678.5","4560","4666.5","7587500","4666.5"
"2015-03-31","4720","4731","4597.5","4601.5","6966900","4601.5"
"2015-04-01","4575","4642.5","4530","4588","7616700","4588"
"2015-04-02","4602","4724.5","4599","4677.5","8232400","4677.5"
"2015-04-03","4700","4711.5","4597","4648","6390400","4648"
"2015-04-06","4600","4630","4578","4617","3624900","4617"
"2015-04-07","4663.5","4714","4643.5","4676.5","7661900","4676.5"
"2015-04-08","4714","4753","4700","4709","7160200","4709"
"2015-04-09","4711","4738","4678","4699.5","5291900","4699.5"
"2015-04-10","4706.5","4758","4662","4708","7392000","4708"
"2015-04-13","4699.5","4738","4680","4730.5","4011700","4730.5"
"2015-04-14","4731.5","4771","4711","4749","4030100","4749"
"2015-04-15","4715","4732.5","4691","4724","5263900","4724"
"2015-04-16","4716","4906","4712","4905","12807600","4905"
"2015-04-17","4906","5020","4862","4951.5","14431700","4951.5"
"2015-04-20","4860","5015","4851","4958","11182300","4958"
"2015-04-21","4982","5087","4976","5050","10634100","5050"
"2015-04-22","5100","5300","5099","5241","17271200","5241"
"2015-04-23","5279","5324","5142","5219","13066800","5219"
"2015-04-24","5214","5285","5177","5237","8884700","5237"
"2015-04-27","5283","5293","5195","5259","6100300","5259"
"2015-04-28","5285","5300","5269","5300","5988500","5300"
"2015-04-30","5210","5293","5191","5242","11628500","5242"
"2015-05-01","5180","5197","5105","5165","9072400","5165"
"2015-05-07","5135","5165","5092","5121","8749700","5121"
"2015-05-08","5158","5375","5138","5357","13871200","5357"
"2015-05-11","5469","5566","5364","5380","11642000","5380"
"2015-05-12","5386","5433","5288","5400","7580000","5400"
"2015-05-13","5352","5361","5232","5258","12717200","5258"
"2015-05-14","5150","5207","5068","5110","12931400","5110"
"2015-05-15","5130","5192","5055","5140","12904600","5140"
"2015-05-18","5150","5332","5143","5322","13315900","5322"
"2015-05-19","5322","5357","5272","5313","8589700","5313"
"2015-05-20","5430","5480","5345","5345","11672400","5345"
"2015-05-21","5380","5485","5361","5405","8165700","5405"
"2015-05-22","5406","5418","5346","5395","6287200","5395"
"2015-05-25","5450","5476","5418","5446","5085600","5446"
"2015-05-26","5454","5468","5427","5445","4649800","5445"
"2015-05-27","5439","5565","5400","5522","11361600","5522"
"2015-05-28","5580","5698","5548","5675","13042800","5675"
"2015-05-29","5676","5744","5619","5670","11369300","5670"
"2015-06-01","5600","5747","5587","5747","7183800","5747"
"2015-06-02","5732","5743","5587","5595","9899100","5595"
"2015-06-03","5594","5657","5558","5574","7469900","5574"
"2015-06-04","5623","5733","5604","5677","8981000","5677"
"2015-06-05","5611","5633","5538","5591","7197000","5591"
"2015-06-08","5690","5690","5561","5597","7649300","5597"
"2015-06-09","5534","5590","5485","5496","6859600","5496"
"2015-06-10","5500","5582","5456","5488","8402200","5488"
"2015-06-11","5495","5556","5492","5510","7802200","5510"
"2015-06-12","5530","5535","5471","5523","9108600","5523"
"2015-06-15","5502","5562","5464","5521","7794600","5521"
"2015-06-16","5485","5490","5340","5342","12094200","5342"
"2015-06-17","5321","5331","5222","5247","11299600","5247"
"2015-06-18","5289","5300","5192","5227","7025000","5227"
"2015-06-19","5283","5295","5202","5241","6564800","5241"
"2015-06-22","5250","5403","5250","5380","7971100","5380"
"2015-06-23","5450","5539","5418","5487","9974700","5487"
"2015-06-24","5533","5595","5520","5522","7801500","5522"
"2015-06-25","5500","5565","5470","5513","5381900","5513"
"2015-06-26","5515","5574","5462","5565","5924800","5565"
"2015-06-29","5350","5457","5335","5413","9314800","5413"
"2015-06-30","5402","5489","5333","5459","9614500","5459"
"2015-07-01","5449","5478","5375","5423","6091900","5423"
"2015-07-02","5480","5527","5465","5470","5967500","5470"
"2015-07-03","5538","5657","5523","5594","9930500","5594"
"2015-07-06","5494","5517","5376","5416","9760200","5416"
"2015-07-07","5476","5574","5460","5461","6894700","5461"
"2015-07-08","5461","5470","5206","5230","12153800","5230"
"2015-07-09","5091","5266","5025","5215","14466800","5215"
"2015-07-10","5234","5353","5205","5268","10104600","5268"
"2015-07-13","5350","5369","5288","5346","5594200","5346"
"2015-07-14","5434","5457","5406","5440","6518400","5440"
"2015-07-15","5500","5502","5410","5451","6042400","5451"
"2015-07-16","5478","5510","5441","5500","5159600","5500"
"2015-07-17","5510","5557","5485","5550","4828900","5550"
"2015-07-21","5580","5589","5540","5587","5051000","5587"
"2015-07-22","5520","5524","5444","5482","5789800","5482"
"2015-07-23","5490","5545","5440","5532","5040700","5532"
"2015-07-24","5525","5528","5420","5456","5761500","5456"
"2015-07-27","5377","5453","5309","5449","6898500","5449"
"2015-07-28","5396","5404","5300","5365","7926300","5365"
"2015-07-29","5415","5458","5378","5380","5586700","5380"
"2015-07-30","5466","5524","5456","5482","7447600","5482"
"2015-07-31","5520","5544","5468","5544","6279400","5544"
"2015-08-03","5605","5625","5415","5474","8594400","5474"
"2015-08-04","5500","5591","5462","5527","6695000","5527"
"2015-08-05","5527","5598","5465","5545","6124400","5545"
"2015-08-06","5596","5705","5588","5588","9819100","5588"
"2015-08-07","5588","5661","5543","5645","5776400","5645"
"2015-08-10","5653","5684","5610","5684","4779900","5684"
"2015-08-11","5740","5770","5608","5664","6817000","5664"
"2015-08-12","5678","5700","5476","5548","10384400","5548"
"2015-08-13","5490","5502","5381","5417","11651000","5417"
"2015-08-14","5444","5475","5414","5419","6082000","5419"
"2015-08-17","5469","5518","5400","5428","6294800","5428"
"2015-08-18","5450","5494","5426","5473","4988200","5473"
"2015-08-19","5454","5564","5440","5448","8024700","5448"
"2015-08-20","5400","5413","5288","5293","10050600","5293"
"2015-08-21","5120","5135","5023","5041","14945600","5041"
"2015-08-24","4810","4860","4635","4635","21336000","4635"
"2015-08-25","4500","4814.5","4490","4555","19282500","4555"
"2015-08-26","4577.5","4731","4501","4718.5","13956300","4718.5"
"2015-08-27","4858.5","4950","4830.5","4842.5","13571600","4842.5"
"2015-08-28","5000","5048","4983","5035","9289600","5035"
"2015-08-31","4980.5","4986","4922.5","4964","7171900","4964"
"2015-09-01","4913.5","4962.5","4818","4818","9546100","4818"
"2015-09-02","4700","4880","4690.5","4783","10470700","4783"
"2015-09-03","4850","4870","4747","4751","7325800","4751"
"2015-09-04","4724.5","4725","4551","4582.5","11748000","4582.5"
"2015-09-07","4554.5","4630","4495","4601.5","8514600","4601.5"
"2015-09-08","4602.5","4649.5","4531.5","4540","6453900","4540"
"2015-09-09","4680","4848","4653","4848","10150300","4848"
"2015-09-10","4708","4779.5","4664","4738.5","7590600","4738.5"
"2015-09-11","4668.5","4802.5","4668.5","4782.5","9627000","4782.5"
"2015-09-14","4788","4826","4699.5","4722.5","5281600","4722.5"
"2015-09-15","4759","4855.5","4710","4720","7199000","4720"
"2015-09-16","4790","4843.5","4768.5","4785","5440800","4785"
"2015-09-17","4855","4883.5","4755","4854","6055200","4854"
"2015-09-18","4796","4796.5","4662.5","4699.5","12568400","4699.5"
"2015-09-24","4623","4648","4557","4557","9894000","4557"
"2015-09-25","4579","4727","4561","4720","8603100","4720"
"2015-09-28","4682","4762","4636","4652","5935500","4652"
"2015-09-29","4529","4531","4388","4430","11870300","4430"
"2015-09-30","4475","4575","4463","4512","8788000","4512"
"2015-10-01","4588","4741","4549","4706","9271800","4706"
"2015-10-02","4690","4722","4647","4719","4608600","4719"
"2015-10-05","4736","4754","4693","4733","4227800","4733"
"2015-10-06","4803","4859","4760","4773","6034100","4773"
"2015-10-07","4780","4835","4730","4820","6300500","4820"
"2015-10-08","4820","4879","4802","4824","6503400","4824"
"2015-10-09","4850","4864","4782","4864","5512000","4864"
"2015-10-13","4834","4844","4746","4771","5078000","4771"
"2015-10-14","4693","4701","4583","4601","9996900","4601"
"2015-10-15","4581","4657","4563","4621","7362700","4621"
"2015-10-16","4654","4712","4626","4668","6310700","4668"
"2015-10-19","4680","4680","4592","4620","5623600","4620"
"2015-10-20","4675","4741","4661","4709","6684700","4709"
"2015-10-21","4709","4814","4705","4801","6244200","4801"
"2015-10-22","4758","4836","4728","4745","7152300","4745"
"2015-10-23","4855","4905","4837","4842","7299000","4842"
"2015-10-26","4950","4950","4895","4896","5754500","4896"
"2015-10-27","4887","4897","4817","4824","5634200","4824"
"2015-10-28","4826","4885","4821","4867","4605900","4867"
"2015-10-29","4931","4935","4829","4839","11929200","4839"
"2015-10-30","4849","4918","4791","4860","10104500","4860"
"2015-11-02","4800","4802","4691","4713","7697000","4713"
"2015-11-04","4800","4875","4776","4804","7428100","4804"
"2015-11-05","4829","4908","4829","4893","5956700","4893"
"2015-11-06","4930","4935","4882","4921","4300400","4921"
"2015-11-09","4982","5150","4974","5118","12677300","5118"
"2015-11-10","5044","5170","5044","5152","7576700","5152"
"2015-11-11","5132","5220","5131","5188","7772600","5188"
"2015-11-12","5130","5134","5045","5048","9445700","5048"
"2015-11-13","4960","5064","4950","5049","7688700","5049"
"2015-11-16","4879","5018","4861","4938","8704200","4938"
"2015-11-17","4980","4993","4912","4919","8722400","4919"
"2015-11-18","4933","4952","4886","4898","6218300","4898"
"2015-11-19","4948","4987","4923","4943","5960400","4943"
"2015-11-20","4918","4924","4880","4914","5212300","4914"
"2015-11-24","4903","4910","4853","4898","5831100","4898"
"2015-11-25","4874","4874","4779","4796","7976900","4796"
"2015-11-26","4820","4847","4804","4829","4446300","4829"
"2015-11-27","4820","4840","4776","4791","4733200","4791"
"2015-11-30","4770","4774","4697","4697","7138100","4697"
"2015-12-01","4740","4773","4725","4770","5237100","4770"
"2015-12-02","4766","4833","4753","4796","5862000","4796"
"2015-12-03","4800","4822","4775","4818","4812400","4818"
"2015-12-04","4701","4768","4694","4744","8005500","4744"
"2015-12-07","4770","4807","4745","4747","5301800","4747"
"2015-12-08","4726","4776","4687","4694","7057000","4694"
"2015-12-09","4660","4728","4658","4705","6640100","4705"
"2015-12-10","4690","4702","4665","4673","7234600","4673"
"2015-12-11","4630","4665","4601","4659","11047600","4659"
"2015-12-14","4552","4590","4547","4586","8002800","4586"
"2015-12-15","4562","4569","4492","4492","7274900","4492"
"2015-12-16","4581","4677","4574","4614","10191600","4614"
"2015-12-17","4734","4746","4644","4659","7864800","4659"
"2015-12-18","4659","4761","4531","4543","12898100","4543"
"2015-12-21","4513","4562","4489","4542","7873200","4542"
"2015-12-22","4549","4579","4518","4533","4889100","4533"
"2015-12-24","4600","4603","4560","4560","5634600","4560"
"2015-12-25","4526","4545","4471","4492","5712600","4492"
"2015-12-28","4528","4557","4508","4549","3497300","4549"
"2015-12-29","4550","4621","4539","4603","4288400","4603"
"2015-12-30","4607","4658","4603","4606","4496200","4606"
