8893 東証JQS (株)新日本建物（不動産業）,,,,,
"2015-03-12","47","49","47","48","562100","240"
"2015-03-13","48","49","48","49","578300","245"
"2015-03-16","49","49","47","48","525100","240"
"2015-03-17","48","49","47","48","381700","240"
"2015-03-18","48","49","48","48","401900","240"
"2015-03-19","48","49","47","48","303000","240"
"2015-03-20","48","48","47","48","138000","240"
"2015-03-23","48","48","47","47","420700","235"
"2015-03-24","47","48","47","47","96600","235"
"2015-03-25","48","48","47","47","532100","235"
"2015-03-26","47","48","46","46","477200","230"
"2015-03-27","46","47","46","47","710400","235"
"2015-03-30","46","47","45","46","350100","230"
"2015-03-31","46","47","46","46","439700","230"
"2015-04-01","45","46","43","45","1607100","225"
"2015-04-02","44","46","44","45","380300","225"
"2015-04-03","46","46","45","45","239500","225"
"2015-04-06","45","46","45","45","280100","225"
"2015-04-07","45","48","45","47","1024000","235"
"2015-04-08","47","48","46","47","650600","235"
"2015-04-09","48","48","47","47","482400","235"
"2015-04-10","48","48","47","47","239000","235"
"2015-04-13","47","48","46","47","280100","235"
"2015-04-14","49","50","47","48","2472100","240"
"2015-04-15","47","48","47","48","693700","240"
"2015-04-16","48","49","47","48","436700","240"
"2015-04-17","48","49","47","48","702200","240"
"2015-04-20","48","48","46","47","888700","235"
"2015-04-21","47","48","46","47","201200","235"
"2015-04-22","47","48","47","47","486600","235"
"2015-04-23","47","47","46","47","340400","235"
"2015-04-24","47","47","46","47","173600","235"
"2015-04-27","48","48","47","47","388800","235"
"2015-04-28","47","47","46","47","300300","235"
"2015-04-30","47","47","46","46","763000","230"
"2015-05-01","47","47","46","46","674900","230"
"2015-05-07","47","47","46","46","619100","230"
"2015-05-08","46","47","46","46","311700","230"
"2015-05-11","46","47","45","45","636100","225"
"2015-05-12","45","47","45","46","645100","230"
"2015-05-13","46","46","45","46","599700","230"
"2015-05-14","46","46","45","45","262400","225"
"2015-05-15","45","46","45","45","717600","225"
"2015-05-18","46","47","45","46","1672000","230"
"2015-05-19","46","47","45","47","1085900","235"
"2015-05-20","47","47","46","47","973700","235"
"2015-05-21","47","48","45","45","2270400","225"
"2015-05-22","45","46","45","45","669000","225"
"2015-05-25","45","46","44","45","687800","225"
"2015-05-26","45","46","44","45","450700","225"
"2015-05-27","46","46","45","46","389200","230"
"2015-05-28","45","46","45","45","446500","225"
"2015-05-29","45","46","44","46","469500","230"
"2015-06-01","45","46","44","45","502800","225"
"2015-06-02","45","46","44","45","344700","225"
"2015-06-03","45","46","45","45","285300","225"
"2015-06-04","45","46","44","45","363700","225"
"2015-06-05","44","45","44","44","444100","220"
"2015-06-08","45","45","44","44","657000","220"
"2015-06-09","44","48","44","46","6519800","230"
"2015-06-10","46","47","44","45","1393800","225"
"2015-06-11","45","46","44","45","638600","225"
"2015-06-12","45","46","44","45","211800","225"
"2015-06-15","44","45","44","44","728600","220"
"2015-06-16","44","45","44","45","676500","225"
"2015-06-17","45","45","44","44","435700","220"
"2015-06-18","44","45","43","44","566600","220"
"2015-06-19","44","45","43","44","628800","220"
"2015-06-22","44","45","44","44","235900","220"
"2015-06-23","44","45","44","44","186600","220"
"2015-06-24","44","46","44","45","875100","225"
"2015-06-25","45","46","44","45","594700","225"
"2015-06-26","45","46","44","45","792000","225"
"2015-06-29","44","44","43","43","1029100","215"
"2015-06-30","43","43","42","43","423400","215"
"2015-07-01","43","44","43","43","548300","215"
"2015-07-02","44","44","43","44","387200","220"
"2015-07-03","44","44","42","43","1144400","215"
"2015-07-06","43","43","42","42","742900","210"
"2015-07-07","42","43","42","43","589500","215"
"2015-07-08","42","43","40","41","1293500","205"
"2015-07-09","39","40","38","40","2466900","200"
"2015-07-10","40","41","39","40","1470700","200"
"2015-07-13","40","41","39","40","1225600","200"
"2015-07-14","41","42","41","41","801700","205"
"2015-07-15","41","43","41","43","952400","215"
"2015-07-16","43","43","42","42","776900","210"
"2015-07-17","42","43","42","42","955300","210"
"2015-07-21","42","44","42","43","608700","215"
"2015-07-22","43","43","42","43","575000","215"
"2015-07-23","43","46","43","44","2619300","220"
"2015-07-24","44","45","43","44","1292000","220"
"2015-07-27","44","44","42","43","1523300","215"
"2015-07-28","41","43","41","42","1544700","210"
"2015-07-29","42","43","42","43","442600","215"
"2015-07-30","42","43","42","42","521800","210"
"2015-07-31","42","43","41","42","917500","210"
"2015-08-03","42","43","41","41","162200","205"
"2015-08-04","41","42","41","41","151100","205"
"2015-08-05","41","43","41","42","450500","210"
"2015-08-06","42","43","41","42","267600","210"
"2015-08-07","42","43","41","42","569500","210"
"2015-08-10","43","45","42","43","2246500","215"
"2015-08-11","44","49","43","47","4886200","235"
"2015-08-12","47","48","44","45","1605500","225"
"2015-08-13","45","49","44","48","2728700","240"
"2015-08-14","49","50","48","49","2844200","245"
"2015-08-17","49","50","48","49","2781300","245"
"2015-08-18","49","49","46","48","2009200","240"
"2015-08-19","46","47","46","46","677300","230"
"2015-08-20","46","47","44","44","544600","220"
"2015-08-21","42","43","40","42","2193300","210"
"2015-08-24","39","41","38","39","1897000","195"
"2015-08-25","36","40","35","38","2464700","190"
"2015-08-26","37","40","37","40","848000","200"
"2015-08-27","40","40","36","39","1754000","195"
"2015-08-28","39","41","38","39","1027100","195"
"2015-08-31","40","40","38","39","589900","195"
"2015-09-01","39","39","38","38","390500","190"
"2015-09-02","37","39","37","39","279800","195"
"2015-09-03","39","40","37","38","273400","190"
"2015-09-04","38","39","36","38","594300","190"
"2015-09-07","36","37","36","37","338200","185"
"2015-09-08","37","37","35","35","366200","175"
"2015-09-09","37","38","36","38","339500","190"
"2015-09-10","37","38","37","38","143700","190"
"2015-09-11","37","38","36","37","444700","185"
"2015-09-14","37","37","36","37","196000","185"
"2015-09-15","36","37","36","36","298600","180"
"2015-09-16","36","37","35","35","567700","175"
"2015-09-17","36","38","36","38","575200","190"
"2015-09-18","37","39","37","38","779600","190"
"2015-09-24","36","37","35","35","855800","175"
"2015-09-25","34","36","33","35","1133700","175"
"2015-09-28","177","177","164","170","105200","170"
"2015-09-29","166","168","162","168","51900","168"
"2015-09-30","165","165","157","164","111300","164"
"2015-10-01","167","170","164","167","40900","167"
"2015-10-02","166","171","162","165","94700","165"
"2015-10-05","166","167","162","162","65200","162"
"2015-10-06","167","190","167","172","884200","172"
"2015-10-07","172","173","168","171","66600","171"
"2015-10-08","171","173","170","171","42200","171"
"2015-10-09","172","176","172","174","89600","174"
"2015-10-13","174","177","173","176","41900","176"
"2015-10-14","176","176","173","173","58000","173"
"2015-10-15","170","175","170","175","24800","175"
"2015-10-16","176","182","175","178","96300","178"
"2015-10-19","180","180","172","174","39700","174"
"2015-10-20","174","174","169","170","44500","170"
"2015-10-21","169","172","169","172","31100","172"
"2015-10-22","170","171","166","170","23000","170"
"2015-10-23","172","178","171","173","76300","173"
"2015-10-26","178","189","177","177","308400","177"
"2015-10-27","180","181","174","176","73500","176"
"2015-10-28","176","177","174","174","31200","174"
"2015-10-29","179","179","174","175","31500","175"
"2015-10-30","175","178","167","175","119300","175"
"2015-11-02","173","175","173","175","29500","175"
"2015-11-04","175","180","174","174","67200","174"
"2015-11-05","175","175","172","174","22900","174"
"2015-11-06","172","175","172","174","64000","174"
"2015-11-09","178","178","173","175","46200","175"
"2015-11-10","174","175","173","174","25400","174"
"2015-11-11","174","175","171","173","38000","173"
"2015-11-12","173","173","169","169","65500","169"
"2015-11-13","169","170","167","168","62500","168"
"2015-11-16","166","169","163","164","67800","164"
"2015-11-17","165","166","164","166","29000","166"
"2015-11-18","166","168","165","166","22200","166"
"2015-11-19","167","168","165","166","45300","166"
"2015-11-20","167","169","166","167","37200","167"
"2015-11-24","166","168","165","166","35100","166"
"2015-11-25","167","167","166","167","53700","167"
"2015-11-26","167","169","165","165","60200","165"
"2015-11-27","166","169","165","168","27700","168"
"2015-11-30","168","171","167","167","110700","167"
"2015-12-01","168","169","168","168","32300","168"
"2015-12-02","168","172","168","169","70000","169"
"2015-12-03","171","181","168","172","274300","172"
"2015-12-04","170","173","169","170","80900","170"
"2015-12-07","171","177","170","175","144400","175"
"2015-12-08","180","180","170","170","103500","170"
"2015-12-09","170","171","169","169","95900","169"
"2015-12-10","169","169","162","165","119700","165"
"2015-12-11","166","168","165","167","31800","167"
"2015-12-14","163","165","162","165","63500","165"
"2015-12-15","165","166","161","161","111800","161"
"2015-12-16","164","164","162","162","73900","162"
"2015-12-17","163","165","161","163","227200","163"
"2015-12-18","160","163","159","159","105400","159"
"2015-12-21","159","159","156","157","83900","157"
"2015-12-22","156","158","154","154","191200","154"
"2015-12-24","152","153","144","145","227400","145"
"2015-12-25","145","146","134","138","358400","138"
"2015-12-28","142","145","141","144","60700","144"
"2015-12-29","146","149","146","149","53400","149"
"2015-12-30","148","151","147","151","63500","151"
