8893 東証JQS (株)新日本建物（不動産業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","43","45","42","44","708700","220"
"2015-01-06","44","44","43","43","655100","215"
"2015-01-07","43","45","42","44","1249200","220"
"2015-01-08","45","47","44","46","4001200","230"
"2015-01-09","46","47","45","45","861800","225"
"2015-01-13","45","47","44","46","1079000","230"
"2015-01-14","46","47","45","46","825900","230"
"2015-01-15","46","53","46","47","15411200","235"
"2015-01-16","47","49","46","47","2835400","235"
"2015-01-19","49","50","47","48","3437100","240"
"2015-01-20","48","49","47","48","1003400","240"
"2015-01-21","48","49","47","48","1424000","240"
"2015-01-22","49","50","47","47","1161600","235"
"2015-01-23","48","49","47","49","667000","245"
"2015-01-26","49","51","48","50","1943200","250"
"2015-01-27","53","55","50","51","5959400","255"
"2015-01-28","51","55","50","53","7635000","265"
"2015-01-29","51","52","47","48","5886700","240"
"2015-01-30","48","50","48","48","1728000","240"
"2015-02-02","48","50","47","48","1286500","240"
"2015-02-03","48","49","47","47","793300","235"
"2015-02-04","47","48","46","47","847900","235"
"2015-02-05","47","48","46","46","579200","230"
"2015-02-06","47","48","46","47","370400","235"
"2015-02-09","46","47","46","46","1054300","230"
"2015-02-10","46","46","45","46","377800","230"
"2015-02-12","46","48","46","48","799500","240"
"2015-02-13","47","48","46","46","611900","230"
"2015-02-16","47","50","47","48","1005300","240"
"2015-02-17","49","49","47","48","339500","240"
"2015-02-18","48","48","46","47","730000","235"
"2015-02-19","47","48","47","48","235400","240"
"2015-02-20","48","48","47","47","299800","235"
"2015-02-23","48","50","47","48","2241000","240"
"2015-02-24","48","51","48","49","998200","245"
"2015-02-25","50","50","48","49","870100","245"
"2015-02-26","49","50","48","49","617700","245"
"2015-02-27","49","50","48","49","368800","245"
"2015-03-02","49","50","48","48","256000","240"
"2015-03-03","49","50","48","49","637500","245"
"2015-03-04","49","50","48","49","470500","245"
"2015-03-05","49","51","49","50","998900","250"
"2015-03-06","50","50","48","49","598600","245"
"2015-03-09","49","49","47","47","823700","235"
"2015-03-10","47","48","47","47","200900","235"
"2015-03-11","47","48","47","47","498900","235"
