4502 東証1部 武田薬品工業(株)（医薬品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2015-01-05","4983.5","5027","4923","5000","1858000","5000"
"2015-01-06","4925","4953","4904.5","4911","2676900","4911"
"2015-01-07","4904.5","4959.5","4904.5","4913.5","1881100","4913.5"
"2015-01-08","4983.5","5100","4979.5","5097","3557800","5097"
"2015-01-09","5107","5125","5081","5107","2978400","5107"
"2015-01-13","5050","5158","5042","5158","3061400","5158"
"2015-01-14","5140","5167","5107","5121","2696600","5121"
"2015-01-15","5141","5190","5132","5184","2686000","5184"
"2015-01-16","5113","5194","5104","5194","3072500","5194"
"2015-01-19","5198","5325","5183","5323","4686200","5323"
"2015-01-20","5327","5502","5320","5502","6209200","5502"
"2015-01-21","5500","5577","5403","5575","5184800","5575"
"2015-01-22","5550","5592","5510","5556","2859400","5556"
"2015-01-23","5580","5583","5500","5530","3887000","5530"
"2015-01-26","5490","5630","5484","5627","3265900","5627"
"2015-01-27","5676","5787","5675","5787","4464500","5787"
"2015-01-28","5750","5812","5742","5805","2867800","5805"
"2015-01-29","5778","5895","5776","5860","3185400","5860"
"2015-01-30","5900","5970","5899","5903","4487900","5903"
"2015-02-02","5821","5906","5806","5888","2538400","5888"
"2015-02-03","5880","5884","5718","5776","4121200","5776"
"2015-02-04","5800","5904","5783","5894","3359600","5894"
"2015-02-05","5900","5947","5836","5878","2601000","5878"
"2015-02-06","5864","5914","5840","5864","2721300","5864"
"2015-02-09","5897","5943","5870","5922","2635100","5922"
"2015-02-10","5929","5950","5890","5950","2590900","5950"
"2015-02-12","6000","6098","5999","6060","4651800","6060"
"2015-02-13","6070","6097","6040","6063","2670500","6063"
"2015-02-16","6098","6100","5988","6047","2254500","6047"
"2015-02-17","6001","6049","5981","6035","1694400","6035"
"2015-02-18","6050","6114","6015","6109","3248400","6109"
"2015-02-19","6090","6110","6068","6078","2167400","6078"
"2015-02-20","6078","6099","6022","6052","1945200","6052"
"2015-02-23","6060","6105","6039","6082","2263800","6082"
"2015-02-24","6096","6136","6066","6136","2752700","6136"
"2015-02-25","6150","6166","6090","6105","1866400","6105"
"2015-02-26","6099","6144","6085","6108","1678400","6108"
"2015-02-27","6127","6142","6089","6123","2353800","6123"
"2015-03-02","6110","6222","6108","6195","2752500","6195"
"2015-03-03","6218","6308","6209","6302","3281100","6302"
"2015-03-04","6300","6400","6240","6390","3282600","6390"
"2015-03-05","6400","6545","6399","6516","4179500","6516"
"2015-03-06","6502","6657","6502","6636","3504900","6636"
"2015-03-09","6610","6624","6404","6450","4229400","6450"
"2015-03-10","6473","6497","6392","6431","2839400","6431"
"2015-03-11","6358","6489","6353","6445","2172900","6445"
"2015-03-12","6443","6489","6410","6486","2934900","6486"
"2015-03-13","6437","6455","6400","6408","6276400","6408"
"2015-03-16","6344","6344","6302","6305","3227200","6305"
"2015-03-17","6321","6395","6316","6377","2026200","6377"
"2015-03-18","6332","6400","6326","6378","2108300","6378"
"2015-03-19","6378","6399","6286","6316","3126100","6316"
"2015-03-20","6315","6344","6238","6339","2831300","6339"
"2015-03-23","6354","6486","6322","6470","3958800","6470"
"2015-03-24","6500","6527","6414","6425","4246500","6425"
"2015-03-25","6426","6440","6315","6368","2856000","6368"
"2015-03-26","6365","6371","6220","6245","4018600","6245"
"2015-03-27","6129","6213","6073","6111","3376100","6111"
"2015-03-30","6054","6100","5985","6080","3417200","6080"
"2015-03-31","6159","6179","5999","5999","2994300","5999"
"2015-04-01","5951","5978","5800","5877","4162400","5877"
"2015-04-02","5900","6000","5893","5945","3341100","5945"
"2015-04-03","5970","5999","5900","5933","2100700","5933"
"2015-04-06","5900","5947","5853","5935","1119100","5935"
"2015-04-07","5970","5977","5914","5949","1460600","5949"
