4502 東証1部 武田薬品工業(株)（医薬品）,,,,,
"2015-04-08","5998","6053","5960","6045","2194500","6045"
"2015-04-09","6104","6125","6025","6084","2120000","6084"
"2015-04-10","6105","6110","6032","6065","2790400","6065"
"2015-04-13","6064","6112","6038","6079","1690400","6079"
"2015-04-14","6075","6082","6023","6038","1543200","6038"
"2015-04-15","6008","6038","5982","6017","1720200","6017"
"2015-04-16","5990","6026","5920","6026","2319800","6026"
"2015-04-17","6011","6135","5995","6095","3655500","6095"
"2015-04-20","6151","6290","6136","6223","3801900","6223"
"2015-04-21","6300","6320","6262","6299","3244500","6299"
"2015-04-22","6318","6319","6275","6299","2054500","6299"
"2015-04-23","6301","6310","6266","6299","1821500","6299"
"2015-04-24","6300","6305","6232","6247","1501100","6247"
"2015-04-27","6249","6288","6226","6248","1413000","6248"
"2015-04-28","6280","6307","6211","6291","2400400","6291"
"2015-04-30","5950","6165","5939","6157","5737300","6157"
"2015-05-01","6152","6205","6126","6193","2749600","6193"
"2015-05-07","6189","6263","6121","6171","2880100","6171"
"2015-05-08","6171","6195","6105","6113","2425600","6113"
"2015-05-11","6199","6260","6163","6207","2329300","6207"
"2015-05-12","6200","6233","6143","6220","1836800","6220"
"2015-05-13","6200","6226","6165","6215","2012300","6215"
"2015-05-14","6212","6212","6137","6170","2139800","6170"
"2015-05-15","6195","6245","6176","6226","2310000","6226"
"2015-05-18","6001","6080","5901","6067","5879900","6067"
"2015-05-19","6050","6100","6033","6047","3556400","6047"
"2015-05-20","6064","6068","5991","5998","3221100","5998"
"2015-05-21","6025","6039","5990","6004","2574500","6004"
"2015-05-22","6002","6008","5950","5975","2103100","5975"
"2015-05-25","5988","6023","5977","6004","2141800","6004"
"2015-05-26","6000","6035","5999","6011","1829300","6011"
"2015-05-27","6015","6030","5953","5953","3167900","5953"
"2015-05-28","5980","6074","5966","6048","2841400","6048"
"2015-05-29","6080","6132","6040","6040","3295200","6040"
"2015-06-01","6019","6070","5991","6049","2398000","6049"
"2015-06-02","6092","6104","6006","6027","2431300","6027"
"2015-06-03","6001","6050","5991","6010","1818600","6010"
"2015-06-04","6044","6044","5987","5993","1991500","5993"
"2015-06-05","5985","6006","5961","6003","1703600","6003"
"2015-06-08","6010","6019","5961","5981","1784900","5981"
"2015-06-09","5955","6036","5955","5960","1796000","5960"
"2015-06-10","5960","6088","5959","6040","3076500","6040"
"2015-06-11","6070","6170","6068","6094","3206100","6094"
"2015-06-12","6154","6159","6082","6115","3179400","6115"
"2015-06-15","6040","6145","6033","6135","1509100","6135"
"2015-06-16","6073","6122","6000","6012","1968600","6012"
"2015-06-17","6010","6020","5954","5962","1886000","5962"
"2015-06-18","5952","5969","5919","5919","1766100","5919"
"2015-06-19","5972","5986","5900","5903","3024100","5903"
"2015-06-22","5911","6035","5908","6018","1957200","6018"
"2015-06-23","6061","6085","6029","6062","2088400","6062"
"2015-06-24","6090","6090","6052","6067","2526200","6067"
"2015-06-25","6070","6086","6029","6031","1785300","6031"
"2015-06-26","5990","6012","5950","5961","2041200","5961"
"2015-06-29","5889","5926","5836","5836","2706400","5836"
"2015-06-30","5833","5948","5825","5911","2603300","5911"
"2015-07-01","5911","5925","5863","5870","1920300","5870"
"2015-07-02","5945","6019","5917","5997","2539300","5997"
"2015-07-03","5990","6002","5958","5983","1231700","5983"
"2015-07-06","5900","6009","5894","5948","1871800","5948"
"2015-07-07","6007","6096","6004","6064","2174600","6064"
"2015-07-08","6020","6052","5929","5929","2661700","5929"
"2015-07-09","5876","5954","5811","5940","3668700","5940"
"2015-07-10","5939","6044","5920","5934","2935400","5934"
"2015-07-13","6000","6083","5972","6058","2148900","6058"
"2015-07-14","6113","6167","6100","6161","2153700","6161"
"2015-07-15","6161","6244","6146","6213","3230200","6213"
"2015-07-16","6260","6284","6179","6201","2009000","6201"
"2015-07-17","6210","6271","6180","6229","1407200","6229"
"2015-07-21","6256","6297","6193","6200","1975200","6200"
"2015-07-22","6200","6208","6145","6154","1545800","6154"
"2015-07-23","6154","6220","6122","6202","1606300","6202"
"2015-07-24","6216","6230","6182","6218","1415300","6218"
"2015-07-27","6124","6167","6081","6108","1877700","6108"
"2015-07-28","6085","6123","6035","6068","1793300","6068"
"2015-07-29","6105","6117","6057","6082","958700","6082"
"2015-07-30","6114","6165","6082","6102","1382500","6102"
"2015-07-31","6131","6280","6123","6240","3719600","6240"
"2015-08-03","6243","6318","6206","6301","2077400","6301"
"2015-08-04","6320","6450","6318","6432","3047100","6432"
"2015-08-05","6430","6474","6328","6403","2436400","6403"
"2015-08-06","6418","6437","6341","6341","2024100","6341"
"2015-08-07","6300","6339","6252","6300","1635800","6300"
"2015-08-10","6297","6427","6287","6415","2067000","6415"
"2015-08-11","6427","6432","6343","6421","2245000","6421"
"2015-08-12","6415","6470","6362","6450","3010900","6450"
"2015-08-13","6416","6505","6382","6501","2663800","6501"
"2015-08-14","6505","6524","6459","6499","1984300","6499"
"2015-08-17","6505","6550","6503","6523","1388600","6523"
"2015-08-18","6550","6609","6539","6583","2359600","6583"
"2015-08-19","6546","6600","6523","6534","1566300","6534"
"2015-08-20","6565","6602","6477","6488","2080600","6488"
"2015-08-21","6383","6387","6266","6284","3595300","6284"
"2015-08-24","6060","6143","5956","5966","4069000","5966"
"2015-08-25","5800","6112","5690","5690","6204500","5690"
"2015-08-26","5701","5817","5673","5770","3801600","5770"
"2015-08-27","5915","5972","5812","5835","2374900","5835"
"2015-08-28","6010","6010","5902","5966","2222200","5966"
"2015-08-31","5955","5995","5883","5962","1975400","5962"
"2015-09-01","5946","5946","5700","5700","2613700","5700"
"2015-09-02","5610","5828","5580","5695","2317900","5695"
"2015-09-03","5808","5878","5750","5752","1770300","5752"
"2015-09-04","5774","5779","5600","5670","2049000","5670"
"2015-09-07","5650","5713","5578","5680","1849400","5680"
"2015-09-08","5689","5689","5472","5476","2362500","5476"
"2015-09-09","5670","5900","5625","5900","3032900","5900"
"2015-09-10","5736","5816","5711","5772","1980600","5772"
"2015-09-11","5732","5827","5701","5744","3759700","5744"
"2015-09-14","5791","5828","5729","5730","1546300","5730"
"2015-09-15","5789","5805","5681","5710","1855600","5710"
"2015-09-16","5760","5784","5686","5712","1893300","5712"
"2015-09-17","5750","5763","5667","5706","1943800","5706"
"2015-09-18","5710","5743","5642","5642","2589600","5642"
"2015-09-24","5570","5584","5445","5445","3460500","5445"
"2015-09-25","5437","5549","5400","5545","2768200","5545"
"2015-09-28","5501","5550","5389","5422","2074300","5422"
"2015-09-29","5300","5302","5086","5114","2890600","5114"
"2015-09-30","5204","5257","5162","5237","2559400","5237"
"2015-10-01","5266","5327","5187","5295","2264800","5295"
"2015-10-02","5261","5265","5176","5256","1704800","5256"
"2015-10-05","5334","5399","5303","5369","1453200","5369"
"2015-10-06","5440","5468","5377","5427","1965400","5427"
"2015-10-07","5478","5525","5410","5486","2549700","5486"
"2015-10-08","5550","5576","5412","5423","2622400","5423"
"2015-10-09","5478","5506","5394","5505","2770300","5505"
"2015-10-13","5465","5529","5446","5467","2299500","5467"
"2015-10-14","5496","5523","5383","5427","2171900","5427"
"2015-10-15","5486","5595","5436","5585","2269100","5585"
"2015-10-16","5611","5696","5596","5674","2148900","5674"
"2015-10-19","5692","5737","5610","5645","1965800","5645"
"2015-10-20","5693","5717","5650","5689","1246200","5689"
"2015-10-21","5687","5699","5624","5694","1814400","5694"
"2015-10-22","5614","5665","5585","5601","1734400","5601"
"2015-10-23","5701","5728","5669","5713","2247400","5713"
"2015-10-26","5771","5816","5742","5784","1933600","5784"
"2015-10-27","5785","5803","5744","5753","1447100","5753"
"2015-10-28","5810","5873","5802","5863","2685300","5863"
"2015-10-29","5896","5920","5840","5849","5860200","5849"
"2015-10-30","5898","5970","5880","5930","2922800","5930"
"2015-11-02","5753","5879","5753","5859","1817100","5859"
"2015-11-04","5999","6033","5951","5955","2840900","5955"
"2015-11-05","5993","6080","5950","6033","2075000","6033"
"2015-11-06","6052","6116","6030","6116","1711900","6116"
"2015-11-09","6126","6157","6074","6143","2292800","6143"
"2015-11-10","6069","6180","6063","6180","1543000","6180"
"2015-11-11","6141","6177","6131","6152","1796400","6152"
"2015-11-12","6148","6180","6131","6158","1634800","6158"
"2015-11-13","6100","6150","6072","6150","1783900","6150"
"2015-11-16","6028","6120","6020","6096","1641400","6096"
"2015-11-17","6160","6169","6120","6120","1718300","6120"
"2015-11-18","6156","6180","6121","6136","1812500","6136"
"2015-11-19","6196","6245","6140","6166","2131900","6166"
"2015-11-20","6155","6192","6102","6192","1580400","6192"
"2015-11-24","6201","6240","6176","6219","1719000","6219"
"2015-11-25","6172","6179","6111","6158","2414100","6158"
"2015-11-26","6199","6229","6166","6204","1758800","6204"
"2015-11-27","6225","6250","6161","6174","1325000","6174"
"2015-11-30","6105","6112","5982","5983","4628000","5983"
"2015-12-01","5982","6104","5963","6090","2277400","6090"
"2015-12-02","6033","6086","6023","6031","2040300","6031"
"2015-12-03","6035","6084","6025","6072","1240100","6072"
"2015-12-04","5978","5989","5925","5940","1991200","5940"
"2015-12-07","6000","6046","5978","5997","1351700","5997"
"2015-12-08","6005","6042","5931","5932","1435000","5932"
"2015-12-09","5900","5925","5818","5825","2558200","5825"
"2015-12-10","5759","5779","5714","5749","2829100","5749"
"2015-12-11","5728","5854","5728","5829","3494900","5829"
"2015-12-14","5680","5743","5672","5732","2096800","5732"
"2015-12-15","5745","5777","5645","5646","1991800","5646"
"2015-12-16","5752","5808","5714","5789","2563400","5789"
"2015-12-17","5890","5939","5851","5924","2881700","5924"
"2015-12-18","5925","6158","5907","5981","4390800","5981"
"2015-12-21","5928","5989","5866","5953","2397400","5953"
"2015-12-22","5957","5986","5943","5955","1297500","5955"
"2015-12-24","6012","6047","5846","5860","1664000","5860"
"2015-12-25","5908","5947","5884","5895","1034100","5895"
"2015-12-28","5898","5943","5858","5929","1105900","5929"
"2015-12-29","5940","6098","5933","6093","2152000","6093"
"2015-12-30","6071","6100","6032","6065","1555300","6065"
